CH5N2,CH3NH3,Rb,Cs,Pb,Sn,I,Br,ETL density(g/cm3),ETL Bandgap(eV),ETL HOMO(eV),ele Molecular Weight,glass Work function,PCE
0.5,0.5,0,0,1,0,1.5,1.5,6.61,0.65,5.521,107.868,4.5,20.5
0.2,0.4,0,0.4,1,0,1.5,0,3.62,2.68,1.367,107.868,4.5,20.1
0,1,0,0,1,0,3,0,3.62,2.68,1.367,107.868,4.5,19.04
0,1,0,0,1,0,3,0,5.44,0.72,0.84,107.868,4.5,18.82
0,1,0,0,1,0,3,0,6.61,0.65,5.521,107.868,4.5,18.34
0,1,0,0,1,0,3,0,2.2,2.4,-6.1,107.868,4.5,17.92
0,1,0,0,1,0,1.5,0,6.62,2.3,5.6919,26.981538,4.5,17.8
0.5,0.5,0,0,0.5,0.5,3,0,2.2,2.4,-6.1,107.868,4.5,17.7
1,0,0,0,1,0,3,0,3.62,2.68,1.367,107.868,4.5,17.4
0,1,0,0,1,0,3,0,3.62,2.68,1.367,107.868,4.5,17.13
0,0.95,0,0,1,0,3,0,3.62,2.68,1.367,107.868,4.5,16.9
0,1,0,0,1,0,3,0,8.37,0,0,107.868,4.57,16.85
0,1,0,0,1,0,3,0,3.62,2.68,1.367,107.868,4.57,16.85
0,1,0,0,1,0,1.5,0,3.62,2.68,1.367,107.868,4.5,16.7
0.38,0.57,0.05,0,1,0,3,0,3.62,2.68,1.367,107.868,4.5,15.76
0,0.17,0,0.05,1,0,2.49,0.51,3.62,2.68,1.367,196.96657,4.5,15.74
0,1,0,0,1,0,3,0,3.62,2.68,1.367,26.981538,4.5,15.6
0,1,0,0,1,0,3,0,6.61,0.65,5.521,107.868,4.5,15.58
1,0,0,0,1,0,3,0,5.44,0.72,0.84,107.868,4.5,15.5
0,0.95,0,0.05,1,0,3,0,2.2,2.4,-6.1,107.868,4.5,15.2
0.5,0.5,0,0,1,0,3,0,3.62,2.68,1.367,107.868,4.5,14.7
0,1,0,0,1,0,3,0,5.44,0.72,0.84,107.868,4.57,14.54
0.5,0.5,0,0,1,0,1.5,1.5,3.62,2.68,1.367,107.868,4.5,14.4
0,1,0,0,1,0,3,0,3.62,2.68,1.367,196.96657,4.5,14.38
0,0.95,0,0.05,1,0,3,0,1.74,1.1,1.7191,107.868,4.5,13.9
0,0.95,0,0.05,1,0,3,0,1.74,1.1,1.7191,107.868,4.5,13.8
0,1,0,0,1,0,1.5,0,3.62,2.68,1.367,107.868,4.57,12.6
0,1,0,0,1,0,3,0,5.44,0.72,0.84,107.868,4.5,9.97
0,1,0,0,0.5,0.5,3,0,3.62,2.68,1.367,107.868,4.5,9.95
0.83,0,0,0.17,1,0,1.8,1.2,3.62,2.68,1.367,107.868,4.57,9.88
0,0,0,0.5,1,0,2,0.5,3.62,2.68,1.367,107.868,4.5,9.8
0,1,0,0,1,0,3,0,5.44,0.72,0.84,107.868,4.5,9.7
0.85,0.15,0,0,1,0,2.55,0.45,3.62,2.68,1.367,107.868,4.5,9.3
0,1,0,0,1,0,3,0,1.74,1.1,1.7191,107.868,4.5,9.3
0.81,0.14,0,0.05,1,0,2.55,0.45,3.62,2.68,1.367,107.868,4.5,9.1
0,0,0,1,1,0,2,1,3.62,2.68,1.367,107.868,4.5,8.8
0,1,0,0,1,0,1.5,0,3.62,2.68,1.367,107.868,4.57,8.4
0,1,0,0,1,0,3,0,3.62,2.68,1.367,196.96657,4.57,7.88
0,1,0,0,1,0,3,0,4.05,1.46,-6.72,107.868,4.5,5.78
0,1,0,0,1,0,3,0,4.51,0,0,107.868,4.5,5.28
0,0,0,1,0,1,3,0,3.62,2.68,1.367,107.868,4.5,4.27
0,1,0,0,1,0,3,3,3.62,2.68,1.367,195.08,4.57,4.2
