a1,a2,a3,a4,a1_coefficients,a2_coefficients,a3_coefficients,a4_coefficients,b1,b2,b1_coefficients,b2_coefficients,c1,c2,c3,c1_coefficients,c2_coefficients,c3_coefficients,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,ETL_stack_sequence,ETL_thickness,HTL_stack_sequence,HTL_additives_compounds,Perovskite_deposition_solvents,JV_default_PCE
(Ada), FA,,,2,2,,,Pb,,3,,I,,,10,,,120.0; 150.0,20.0; 10.0,TiO2-c | TiO2-mp,nan | 195.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,7.8
(AVA) | MA,,,,2 | 1,,,,Pb | Pb,,1 | 1,,I | I,,,4 | 3,,,100,45,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,16.4
(BdA),,,,1,,,,Pb,,1,,I,,,4,,,90,10,TiO2-c | TiO2-mp,100.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF,1.08
(BEA), MA,,,0.5,3,,,Pb,,3,,I,,,10,,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.86
(BEA), Cs, FA, MA,0.5,0.15,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.39
(BEA), Cs, FA, MA,0.5,0.15,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.39
(BEA), Cs, FA, MA,0.5,0.15,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.39
(BEA), Cs, FA, MA,0.5,0.15,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.39
(BzDA), Cs, FA, MA,1,0.45,7.2,1.35,Pb,,10,,Br, I,,2.17,28.83,,100,35,TiO2-c | TiO2-mp,20.0 | 100.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF; DMSO,13
(CHMA), MA,,,2,,,,Pb,,1,,I,,,4,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF,0.02
(CHMA), MA,,,2,1,,,Pb,,2,,I,,,7,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF,0.02
(CHMA), MA,,,2,2,,,Pb,,3,,I,,,10,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF,0.09
(CHMA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF,3.78
(CHMA), MA,,,2,4,,,Pb,,5,,I,,,16,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMF,5.55
(CIEA), MA,,,0.01,0.99,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,25.0 | 200.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,17.73
(CIEA), MA,,,0.03,0.97,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,25.0 | 200.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,18.28
(CIEA), MA,,,0.05,0.95,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,25.0 | 200.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,17.45
(CIEA), MA,,,0.1,0.9,,,Pb,,1,,I,,,3,,,100,60,TiO2-c | TiO2-mp,25.0 | 200.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,16.12
(CPEA), MA,,,2,2,,,Pb,,3,,I,,,10,,,140,10,TiO2-c,80,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,4.11
(CPEA), MA,,,2,3,,,Pb,,4,,I,,,13,,,140,10,TiO2-c,80,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,6.3
(CPEA), MA,,,2,4,,,Pb,,5,,I,,,16,,,140,10,TiO2-c,80,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,10.29
(CPEA), MA,,,2,5,,,Pb,,6,,I,,,19,,,140,10,TiO2-c,80,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,9.12
